                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.81918,                 1.7155,                 2.0863,                 1.2288,                0.55244,                0.37124,                0.45261,                0.38248,                0.54869,                0.36855,                0.44605,                0.36471,                0.95015,                 1.9647,                 1.9138,                 1.4352,               0.008911,               0.008911,               0.008911
                     25,                0.81306,                 1.7065,                 2.0524,                 1.2236,                 0.5618,                0.37198,                0.45158,                0.38229,                0.55807,                0.36941,                0.44552,                0.36431,                0.94931,                 1.9606,                 1.9065,                 1.4332,              0.0088615,              0.0088615,              0.0088615
                     26,                0.80787,                  1.695,                 2.0429,                  1.218,                0.53407,                 0.4012,                0.45343,                0.38383,                0.53046,                0.39851,                 0.4473,                0.36633,                0.94732,                  1.958,                 1.8969,                 1.4303,               0.008812,               0.008812,               0.008812
                     27,                0.80599,                  1.689,                  2.027,                 1.2186,                0.54157,                0.39885,                0.45451,                  0.385,                0.53734,                0.39694,                0.44835,                0.36694,                0.94562,                 1.9537,                 1.8884,                 1.4285,              0.0087625,              0.0087625,              0.0087625
                     28,                0.80502,                 1.6882,                 2.0089,                 1.2186,                  0.547,                0.39648,                0.45694,                  0.387,                0.54332,                0.39391,                0.45087,                0.36831,                0.94464,                  1.948,                 1.8818,                 1.4275,               0.008713,               0.008713,               0.008713
                     29,                0.80726,                 1.6818,                 2.0178,                 1.2173,                0.54419,                0.39687,                0.45761,                 0.3873,                0.54053,                 0.3943,                0.45097,                0.36834,                0.94375,                  1.945,                 1.8734,                 1.4266,              0.0086635,              0.0086635,              0.0086635
                     30,                0.80182,                 1.6751,                 2.0036,                 1.2126,                0.55158,                0.39613,                0.45911,                0.38832,                0.54748,                 0.3943,                0.45229,                0.36977,                0.94384,                 1.9424,                 1.8678,                 1.4264,               0.008614,               0.008614,               0.008614
                     31,                0.80525,                 1.6837,                 2.0044,                 1.2149,                0.54642,                0.40373,                0.45949,                0.38845,                0.54236,                0.40198,                0.45245,                0.37084,                0.94218,                 1.9397,                 1.8591,                 1.4246,              0.0085645,              0.0085645,              0.0085645
                     32,                0.80326,                 1.6816,                 1.9949,                 1.2131,                0.54233,                0.40335,                0.46367,                0.39139,                0.53855,                0.40061,                0.45596,                0.37377,                0.94096,                 1.9384,                 1.8499,                 1.4236,               0.008515,               0.008515,               0.008515
                     33,                 0.8017,                  1.676,                 1.9739,                 1.2125,                0.53835,                0.40816,                0.46778,                 0.3953,                0.53549,                  0.404,                0.46048,                0.37698,                0.93898,                 1.9347,                 1.8433,                 1.4211,              0.0084655,              0.0084655,              0.0084655
