                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.73091,                  1.482,                 1.5753,                 1.1522,                0.59853,                0.62768,                0.69683,                0.58698,                0.59867,                0.61835,                0.68329,                 0.5482,                0.85819,                 1.6841,                 1.2332,                  1.319,               0.004852,               0.004852,               0.004852
                    107,                0.72999,                 1.4779,                 1.5682,                 1.1526,                0.59225,                0.63914,                0.69736,                0.58864,                0.60177,                0.62017,                0.68403,                0.54927,                 0.8565,                  1.681,                 1.2246,                 1.3175,              0.0048025,              0.0048025,              0.0048025
                    108,                0.73559,                 1.4851,                  1.574,                 1.1545,                0.58712,                0.64651,                0.70256,                0.59139,                 0.5998,                0.63126,                0.69148,                0.55411,                0.85468,                 1.6785,                 1.2144,                 1.3157,               0.004753,               0.004753,               0.004753
                    109,                0.72765,                  1.479,                 1.5617,                 1.1519,                0.59973,                0.64026,                0.70907,                 0.5958,                 0.6058,                0.63051,                0.69786,                0.55741,                0.85354,                 1.6748,                 1.2057,                 1.3141,              0.0047035,              0.0047035,              0.0047035
                    110,                0.73315,                 1.4858,                 1.5706,                 1.1509,                0.61167,                0.63516,                0.70931,                0.59626,                0.61187,                0.63175,                0.69674,                 0.5569,                0.85148,                 1.6701,                 1.1967,                  1.312,               0.004654,               0.004654,               0.004654
                    111,                0.72998,                 1.4741,                 1.5462,                 1.1498,                0.61676,                0.64173,                0.71386,                0.59841,                0.61979,                0.62477,                0.69965,                0.55947,                0.85042,                 1.6681,                 1.1873,                 1.3108,              0.0046045,              0.0046045,              0.0046045
                    112,                0.72754,                 1.4645,                  1.543,                 1.1503,                0.61852,                0.63743,                0.72069,                0.60497,                0.63092,                0.62247,                0.70678,                0.56418,                0.84839,                 1.6654,                 1.1773,                 1.3092,               0.004555,               0.004555,               0.004555
                    113,                0.72396,                 1.4616,                 1.5383,                 1.1472,                0.62022,                0.64312,                0.72457,                0.60835,                0.64593,                0.61621,                 0.7108,                0.56774,                0.84741,                 1.6612,                 1.1681,                 1.3079,              0.0045055,              0.0045055,              0.0045055
                    114,                 0.7216,                 1.4603,                  1.533,                 1.1473,                0.63693,                0.62818,                0.72325,                0.60778,                0.65648,                0.61354,                0.71179,                0.56825,                0.84623,                  1.657,                 1.1593,                 1.3064,               0.004456,               0.004456,               0.004456
                    115,                0.72663,                 1.4721,                   1.53,                 1.1486,                0.64265,                0.63345,                0.72715,                0.61128,                0.65881,                0.61537,                0.71406,                0.57065,                0.84474,                 1.6528,                 1.1509,                 1.3048,              0.0044065,              0.0044065,              0.0044065
                    116,                0.72681,                  1.471,                 1.5288,                 1.1496,                0.63189,                0.64572,                0.73036,                0.61416,                 0.6451,                0.62631,                0.71742,                0.57281,                 0.8431,                 1.6502,                 1.1394,                 1.3025,               0.004357,               0.004357,               0.004357
                    117,                0.72248,                 1.4653,                 1.5168,                 1.1429,                0.62812,                0.65144,                0.73172,                0.61526,                0.63463,                0.63628,                0.71919,                0.57465,                0.84066,                 1.6464,                 1.1295,                 1.2996,              0.0043075,              0.0043075,              0.0043075
                    118,                 0.7232,                 1.4613,                  1.508,                 1.1461,                0.61936,                0.65407,                0.73329,                0.61817,                0.61974,                0.64002,                0.72217,                0.57733,                0.83849,                  1.643,                 1.1196,                 1.2979,               0.004258,               0.004258,               0.004258
                    119,                0.71862,                 1.4523,                 1.4969,                 1.1427,                0.61894,                0.65912,                0.73646,                 0.6207,                0.63388,                0.63848,                 0.7263,                0.58059,                0.83681,                 1.6405,                 1.1112,                 1.2973,              0.0042085,              0.0042085,              0.0042085
                    120,                 0.7123,                  1.443,                 1.4873,                 1.1408,                 0.5868,                0.68539,                 0.7386,                0.62229,                 0.6237,                0.65064,                 0.7282,                0.58245,                0.83533,                 1.6372,                  1.102,                 1.2958,               0.004159,               0.004159,               0.004159
                    121,                0.71943,                  1.452,                 1.4922,                  1.143,                0.59187,                 0.6959,                0.73693,                0.62212,                0.61079,                0.65927,                0.72702,                0.58122,                0.83395,                 1.6345,                  1.095,                 1.2941,              0.0041095,              0.0041095,              0.0041095
                    122,                 0.7142,                 1.4411,                 1.4886,                 1.1406,                0.59526,                0.69436,                0.74226,                0.62738,                0.58605,                0.68197,                0.73277,                0.58506,                0.83238,                 1.6327,                 1.0873,                 1.2929,                0.00406,                0.00406,                0.00406
                    123,                0.72024,                 1.4445,                  1.484,                 1.1396,                0.60911,                0.69688,                0.74792,                0.63181,                0.59953,                0.68446,                0.73766,                0.58929,                0.83116,                 1.6284,                 1.0779,                 1.2914,              0.0040105,              0.0040105,              0.0040105
                    124,                0.71499,                 1.4434,                   1.48,                 1.1378,                0.61768,                0.69915,                0.75469,                0.63741,                0.60733,                0.68681,                0.74408,                 0.5949,                 0.8294,                 1.6247,                 1.0676,                 1.2895,               0.003961,               0.003961,               0.003961
                    125,                0.71366,                 1.4355,                 1.4646,                 1.1394,                0.62827,                 0.6892,                0.76003,                0.64107,                0.61779,                0.67724,                0.74754,                0.59681,                0.82881,                 1.6208,                 1.0594,                 1.2887,              0.0039115,              0.0039115,              0.0039115
                    126,                0.71256,                 1.4295,                 1.4668,                 1.1375,                0.63552,                0.70317,                0.76043,                0.64261,                 0.6245,                 0.6904,                0.74915,                0.59931,                0.82763,                 1.6175,                   1.05,                 1.2877,               0.003862,               0.003862,               0.003862
                    127,                0.70593,                 1.4186,                 1.4464,                 1.1346,                0.63693,                0.70347,                0.76378,                0.64638,                0.62533,                0.69117,                0.75214,                0.60222,                0.82634,                 1.6139,                 1.0403,                 1.2867,              0.0038125,              0.0038125,              0.0038125
                    128,                0.71066,                 1.4294,                 1.4441,                 1.1349,                0.64125,                 0.7021,                0.76827,                0.65155,                0.63015,                0.68964,                0.75731,                0.60551,                0.82483,                   1.61,                 1.0299,                 1.2855,               0.003763,               0.003763,               0.003763
                    129,                0.71055,                 1.4271,                 1.4469,                 1.1382,                0.64897,                0.70082,                0.77068,                0.65281,                0.63805,                0.68797,                0.75984,                0.60751,                0.82295,                 1.6052,                 1.0214,                 1.2842,              0.0037135,              0.0037135,              0.0037135
                    130,                0.70611,                 1.4244,                 1.4344,                 1.1343,                 0.6353,                0.71141,                0.77367,                0.65505,                0.62411,                 0.6982,                0.76219,                0.60944,                0.82004,                 1.6016,                  1.011,                 1.2822,               0.003664,               0.003664,               0.003664
                    131,                0.70936,                 1.4266,                 1.4251,                 1.1357,                0.64027,                 0.7161,                0.77864,                0.65635,                0.62196,                0.70248,                0.76434,                0.61004,                0.81778,                 1.5971,                 1.0022,                 1.2809,              0.0036145,              0.0036145,              0.0036145
                    132,                0.70225,                 1.4057,                 1.4215,                 1.1292,                 0.6439,                0.71835,                 0.7834,                0.66153,                0.63094,                0.70403,                0.77009,                 0.6151,                0.81595,                 1.5928,                0.99441,                 1.2796,               0.003565,               0.003565,               0.003565
                    133,                0.70452,                 1.4042,                 1.4074,                 1.1316,                 0.6336,                 0.7298,                0.78585,                0.66228,                0.62225,                0.71428,                0.77133,                0.61535,                0.81501,                 1.5897,                0.98826,                 1.2792,              0.0035155,              0.0035155,              0.0035155
                    134,                0.70524,                 1.4195,                 1.4126,                 1.1332,                0.63037,                 0.7368,                0.78715,                0.66296,                0.62088,                0.72201,                0.77371,                0.61655,                0.81312,                  1.586,                0.97839,                 1.2783,               0.003466,               0.003466,               0.003466
                    135,                0.69771,                 1.4025,                 1.3904,                 1.1272,                0.62015,                0.74989,                0.78937,                 0.6656,                0.60997,                0.73509,                0.77587,                0.61793,                0.81229,                 1.5819,                0.97065,                 1.2766,              0.0034165,              0.0034165,              0.0034165
                    136,                0.70019,                 1.3946,                 1.3876,                 1.1306,                0.63589,                0.74507,                0.79178,                0.66678,                 0.6258,                0.72964,                0.77766,                0.61901,                0.81014,                 1.5776,                0.96141,                 1.2746,               0.003367,               0.003367,               0.003367
                    137,                0.69911,                 1.3999,                 1.3906,                 1.1271,                0.63166,                0.75729,                0.79592,                0.67125,                0.62234,                0.74212,                0.78257,                0.62433,                0.80822,                 1.5742,                0.95326,                 1.2734,              0.0033175,              0.0033175,              0.0033175
                    138,                0.69458,                 1.3953,                  1.383,                 1.1254,                0.64452,                0.75132,                0.79906,                0.67484,                0.63456,                0.73624,                0.78579,                0.62771,                0.80528,                 1.5697,                0.94424,                 1.2707,               0.003268,               0.003268,               0.003268
                    139,                0.69659,                 1.3987,                 1.3662,                 1.1278,                0.68304,                0.73797,                0.80197,                0.67887,                0.67279,                0.72366,                0.79022,                0.63162,                0.80382,                 1.5669,                0.93433,                 1.2692,              0.0032185,              0.0032185,              0.0032185
                    140,                0.69017,                 1.3803,                 1.3603,                 1.1208,                 0.6867,                   0.74,                 0.8057,                0.68234,                0.67735,                0.72545,                0.79281,                0.63316,                0.80194,                 1.5629,                0.92523,                 1.2672,               0.003169,               0.003169,               0.003169
                    141,                0.69294,                 1.3827,                  1.355,                 1.1248,                0.69101,                 0.7424,                0.80618,                0.68181,                0.68078,                0.72739,                0.79418,                0.63394,                0.79994,                 1.5592,                0.91325,                 1.2649,              0.0031195,              0.0031195,              0.0031195
                    142,                0.68894,                 1.3778,                 1.3468,                 1.1209,                0.68977,                 0.7512,                0.80917,                0.68401,                0.69595,                0.73171,                0.79568,                0.63518,                0.79796,                 1.5559,                0.90275,                 1.2628,                0.00307,                0.00307,                0.00307
                    143,                0.69274,                 1.3729,                 1.3418,                 1.1226,                0.71648,                  0.746,                0.81349,                0.68695,                0.70535,                0.73073,                0.80048,                0.63883,                0.79516,                 1.5517,                0.89191,                 1.2598,              0.0030205,              0.0030205,              0.0030205
                    144,                0.68686,                 1.3767,                 1.3327,                 1.1198,                 0.7179,                0.76081,                0.81879,                0.69342,                 0.7073,                0.74576,                0.80614,                0.64425,                0.79332,                 1.5475,                0.88085,                 1.2583,               0.002971,               0.002971,               0.002971
                    145,                0.68818,                 1.3756,                 1.3281,                 1.1187,                0.73171,                0.75298,                0.81954,                0.69468,                0.72144,                0.73859,                 0.8064,                0.64459,                 0.7922,                 1.5442,                0.87099,                 1.2569,              0.0029215,              0.0029215,              0.0029215
                    146,                0.68788,                 1.3708,                 1.3163,                 1.1201,                0.73439,                0.75584,                0.82216,                0.69886,                0.72445,                 0.7416,                0.81062,                0.64863,                0.79047,                  1.541,                0.86235,                  1.255,               0.002872,               0.002872,               0.002872
                    147,                0.68633,                 1.3681,                 1.3138,                 1.1171,                0.76507,                0.74171,                0.83041,                0.70358,                0.75445,                0.72856,                0.81786,                0.65352,                 0.7892,                 1.5376,                 0.8523,                 1.2536,              0.0028225,              0.0028225,              0.0028225
                    148,                0.68169,                 1.3596,                  1.307,                 1.1152,                 0.7784,                0.73917,                0.83623,                0.70974,                 0.7678,                0.72682,                0.82412,                0.65846,                0.78789,                 1.5345,                0.84237,                 1.2521,               0.002773,               0.002773,               0.002773
                    149,                0.67694,                  1.346,                 1.2945,                  1.112,                0.77358,                0.74803,                0.83919,                0.71253,                0.76407,                0.73687,                0.82767,                0.66135,                0.78481,                 1.5315,                0.82952,                 1.2493,              0.0027235,              0.0027235,              0.0027235
                    150,                0.68254,                 1.3537,                  1.287,                 1.1146,                0.77497,                0.75198,                  0.841,                0.71396,                0.76359,                0.74186,                0.82977,                0.66346,                0.78293,                 1.5286,                0.81865,                 1.2472,               0.002674,               0.002674,               0.002674
                    151,                 0.6814,                 1.3639,                  1.284,                  1.114,                0.77331,                0.75505,                0.84533,                0.71902,                0.76411,                0.74391,                0.83356,                0.66698,                0.78129,                  1.525,                0.80819,                 1.2452,              0.0026245,              0.0026245,              0.0026245
                    152,                0.67999,                 1.3517,                 1.2694,                 1.1145,                0.77705,                 0.7536,                 0.8493,                0.72143,                0.76783,                0.74241,                0.83742,                0.67023,                0.77944,                 1.5212,                0.79712,                 1.2425,               0.002575,               0.002575,               0.002575
                    153,                0.67242,                 1.3401,                 1.2636,                 1.1083,                0.77823,                0.75348,                0.85299,                0.72465,                0.76976,                0.74248,                0.84103,                  0.673,                0.77777,                 1.5169,                0.78718,                 1.2408,              0.0025255,              0.0025255,              0.0025255
                    154,                0.67409,                 1.3401,                 1.2477,                 1.1064,                0.77354,                0.76099,                0.85611,                0.72592,                  0.758,                  0.751,                0.84485,                0.67559,                0.77684,                 1.5139,                0.77675,                 1.2393,               0.002476,               0.002476,               0.002476
                    155,                 0.6705,                 1.3355,                 1.2472,                 1.1071,                0.77966,                0.76059,                0.85964,                0.72913,                0.76378,                0.75088,                0.84818,                 0.6787,                0.77403,                 1.5101,                0.76645,                 1.2368,              0.0024265,              0.0024265,              0.0024265
                    156,                0.66938,                 1.3358,                 1.2369,                 1.1076,                0.77854,                0.76312,                0.86393,                0.73308,                0.77003,                0.75191,                0.85219,                0.68241,                0.77045,                 1.5061,                0.75549,                 1.2339,               0.002377,               0.002377,               0.002377
                    157,                0.67166,                  1.336,                 1.2352,                 1.1078,                0.77013,                0.77163,                0.87048,                0.73662,                0.76164,                0.76031,                0.85863,                 0.6843,                0.76876,                 1.5025,                0.74686,                 1.2318,              0.0023275,              0.0023275,              0.0023275
                    158,                0.66821,                 1.3262,                 1.2205,                 1.1047,                0.75473,                0.78695,                0.87152,                0.74068,                0.74521,                0.77633,                0.86043,                0.68647,                0.76543,                 1.4986,                 0.7389,                  1.229,               0.002278,               0.002278,               0.002278
                    159,                0.66815,                 1.3297,                 1.2189,                 1.1057,                0.77339,                 0.7829,                 0.8724,                0.74232,                0.76371,                0.77259,                 0.8613,                0.68732,                0.76293,                 1.4945,                0.72856,                  1.227,              0.0022285,              0.0022285,              0.0022285
                    160,                0.66118,                 1.3176,                 1.2022,                 1.0991,                0.78708,                0.78007,                0.87432,                0.74373,                0.77892,                0.76892,                0.86351,                0.68865,                0.76128,                 1.4911,                0.71919,                 1.2259,               0.002179,               0.002179,               0.002179
                    161,                0.66619,                 1.3256,                 1.1959,                 1.1035,                0.79942,                 0.7767,                0.87836,                0.74772,                0.79111,                0.76555,                0.86776,                0.69141,                0.76046,                 1.4874,                0.71047,                 1.2251,              0.0021295,              0.0021295,              0.0021295
                    162,                0.65946,                 1.3034,                 1.1787,                 1.0995,                0.80912,                0.77569,                0.88469,                0.75309,                0.80071,                0.76454,                0.87204,                0.69477,                0.75803,                  1.484,                0.69982,                 1.2231,                0.00208,                0.00208,                0.00208
                    163,                0.66171,                 1.3164,                 1.1849,                 1.1003,                0.82979,                0.77409,                0.89028,                0.75682,                0.82128,                0.76822,                0.88106,                0.69977,                0.75601,                 1.4804,                0.68962,                 1.2212,              0.0020305,              0.0020305,              0.0020305
                    164,                0.65647,                 1.3024,                  1.169,                 1.0975,                0.84433,                0.76494,                0.89028,                0.75658,                0.81058,                0.76886,                0.87662,                0.70079,                0.75353,                 1.4762,                0.67872,                 1.2189,               0.001981,               0.001981,               0.001981
                    165,                0.65911,                 1.3065,                 1.1647,                 1.0979,                0.82292,                0.78071,                0.88843,                0.75674,                  0.808,                 0.7794,                0.87427,                0.69973,                0.75126,                 1.4718,                0.66693,                 1.2167,              0.0019315,              0.0019315,              0.0019315
                    166,                 0.6536,                 1.3054,                 1.1511,                 1.0943,                0.80715,                 0.7996,                0.89011,                0.75926,                0.79943,                0.78911,                0.87768,                0.70265,                0.74926,                 1.4683,                0.65729,                 1.2147,               0.001882,               0.001882,               0.001882
                    167,                0.65497,                 1.2955,                 1.1409,                 1.0952,                0.80878,                0.80521,                0.89639,                0.76506,                 0.8015,                0.79518,                0.88409,                 0.7082,                0.74628,                 1.4634,                0.64566,                 1.2118,              0.0018325,              0.0018325,              0.0018325
                    168,                0.65175,                 1.2902,                 1.1347,                 1.0958,                0.80531,                0.81304,                0.90076,                0.76813,                0.79758,                0.80251,                0.88751,                0.71106,                0.74344,                 1.4586,                0.63554,                 1.2092,               0.001783,               0.001783,               0.001783
                    169,                0.64214,                 1.2747,                 1.1201,                 1.0879,                 0.8222,                 0.8009,                0.90335,                0.76918,                0.81357,                0.79497,                0.88955,                0.71303,                0.74188,                  1.454,                0.62589,                 1.2068,              0.0017335,              0.0017335,              0.0017335
                    170,                0.64337,                 1.2721,                 1.1067,                 1.0864,                0.82699,                0.80455,                0.90764,                0.77364,                 0.8191,                0.79427,                0.89424,                0.71551,                0.73975,                 1.4494,                0.61813,                 1.2049,               0.001684,               0.001684,               0.001684
                    171,                0.64291,                 1.2829,                 1.0995,                 1.0878,                0.83973,                0.80347,                0.90845,                0.77449,                0.83172,                0.79325,                0.89573,                0.71714,                0.73721,                  1.445,                0.60817,                 1.2023,              0.0016345,              0.0016345,              0.0016345
                    172,                0.64467,                 1.2785,                 1.0927,                 1.0885,                0.81185,                0.82684,                0.91614,                0.77985,                0.80449,                0.81676,                0.90306,                0.72318,                0.73543,                 1.4407,                0.60013,                 1.2002,               0.001585,               0.001585,               0.001585
                    173,                0.64248,                 1.2672,                 1.0849,                 1.0874,                0.82151,                0.82989,                0.91898,                0.78228,                0.80711,                0.82152,                0.90514,                0.72496,                0.73339,                 1.4362,                0.59059,                 1.1983,              0.0015355,              0.0015355,              0.0015355
                    174,                0.63635,                 1.2644,                  1.073,                 1.0838,                 0.8299,                0.82806,                0.92168,                0.78564,                0.82212,                0.81788,                0.90988,                 0.7277,                0.73106,                 1.4317,                0.58266,                 1.1952,               0.001486,               0.001486,               0.001486
                    175,                0.63313,                 1.2614,                 1.0606,                 1.0823,                0.81235,                0.84409,                0.92792,                0.78771,                0.80348,                0.83272,                0.91093,                0.72968,                0.72778,                 1.4268,                0.57282,                  1.192,              0.0014365,              0.0014365,              0.0014365
                    176,                0.63157,                 1.2517,                 1.0496,                 1.0789,                0.81959,                0.84606,                0.93003,                0.79029,                 0.8122,                0.83612,                0.91482,                 0.7308,                0.72444,                 1.4225,                0.56349,                  1.188,               0.001387,               0.001387,               0.001387
                    177,                 0.6333,                 1.2507,                 1.0413,                 1.0824,                0.82304,                0.84967,                0.93128,                 0.7916,                0.81306,                0.83763,                0.91399,                0.73074,                0.72135,                 1.4176,                0.55434,                 1.1855,              0.0013375,              0.0013375,              0.0013375
                    178,                0.62831,                 1.2423,                 1.0395,                 1.0762,                0.83576,                0.84829,                0.93338,                0.79365,                0.82913,                0.83106,                0.91587,                0.73256,                0.71864,                 1.4129,                0.54534,                 1.1831,               0.001288,               0.001288,               0.001288
                    179,                0.62464,                 1.2427,                 1.0128,                 1.0747,                0.84577,                0.84229,                0.93513,                0.79643,                0.83452,                0.83008,                0.91842,                0.73535,                0.71632,                 1.4084,                0.53853,                 1.1811,              0.0012385,              0.0012385,              0.0012385
                    180,                0.62173,                 1.2326,                 1.0144,                 1.0744,                0.85444,                0.84339,                0.93757,                0.79846,                0.84312,                0.83112,                0.92071,                0.73677,                0.71407,                 1.4035,                0.53128,                 1.1786,               0.001189,               0.001189,               0.001189
                    181,                0.61791,                 1.2198,                 1.0094,                 1.0706,                0.85886,                0.84522,                0.94113,                0.80141,                 0.8475,                0.83283,                0.92395,                0.73863,                0.71157,                 1.3989,                0.52288,                 1.1762,              0.0011395,              0.0011395,              0.0011395
                    182,                0.61867,                  1.225,                0.99154,                  1.073,                0.86422,                0.84825,                0.94188,                0.80313,                0.85257,                0.83612,                0.92419,                0.73963,                0.70829,                 1.3943,                0.51514,                 1.1733,                0.00109,                0.00109,                0.00109
                    183,                0.61527,                 1.2263,                0.98231,                 1.0697,                0.86763,                0.85317,                 0.9445,                0.80492,                0.85653,                0.84108,                0.92716,                0.74152,                0.70627,                   1.39,                0.50743,                 1.1707,              0.0010405,              0.0010405,              0.0010405
                    184,                0.61402,                 1.2183,                0.97741,                 1.0668,                0.85088,                0.86703,                 0.9442,                0.80827,                0.84127,                0.85595,                0.93022,                0.74337,                0.70285,                 1.3851,                0.50021,                 1.1673,               0.000991,               0.000991,               0.000991
                    185,                0.60783,                 1.2102,                0.96085,                 1.0626,                0.85567,                0.86672,                0.94478,                0.80867,                0.84685,                0.85597,                0.93032,                0.74442,                0.70055,                 1.3805,                0.49315,                 1.1647,              0.0009415,              0.0009415,              0.0009415
                    186,                0.60763,                  1.204,                0.95507,                 1.0626,                0.85915,                0.87269,                0.94757,                0.81165,                0.85053,                0.86217,                0.93381,                0.74623,                0.69658,                 1.3756,                0.48494,                 1.1612,               0.000892,               0.000892,               0.000892
                    187,                0.60902,                 1.1988,                0.94291,                 1.0645,                0.86611,                0.86921,                0.95081,                0.81358,                0.85658,                 0.8582,                 0.9365,                0.74857,                0.69206,                  1.371,                0.47746,                 1.1573,              0.0008425,              0.0008425,              0.0008425
                    188,                0.60534,                 1.2001,                0.94038,                 1.0631,                0.90153,                0.84722,                0.95135,                0.81437,                 0.8919,                0.83659,                0.93733,                0.74982,                0.68868,                 1.3661,                 0.4703,                 1.1539,               0.000793,               0.000793,               0.000793
                    189,                  0.604,                 1.2004,                0.92575,                 1.0597,                0.88117,                0.86514,                0.95299,                0.81626,                0.87155,                0.85418,                0.93924,                0.75142,                 0.6858,                 1.3613,                0.46263,                 1.1506,              0.0007435,              0.0007435,              0.0007435
                    190,                0.59684,                 1.1842,                0.91672,                 1.0546,                0.91013,                0.84989,                0.95458,                0.82028,                0.85059,                0.87251,                0.94061,                0.75332,                0.68264,                 1.3566,                0.45515,                 1.1473,               0.000694,               0.000694,               0.000694
                    191,                0.70994,                 1.4409,                0.66208,                  1.189,                0.87467,                  0.889,                0.95826,                0.82226,                 0.8654,                0.87763,                0.94376,                0.75545,                0.67896,                 1.3517,                0.44579,                 1.1428,              0.0006445,              0.0006445,              0.0006445
                    192,                 0.6958,                 1.4118,                0.61719,                 1.1752,                0.88599,                0.88845,                0.96038,                0.82583,                0.87735,                0.87642,                0.94497,                0.75747,                0.67544,                 1.3455,                0.43502,                 1.1383,               0.000595,               0.000595,               0.000595
                    193,                0.68507,                 1.3978,                0.59703,                 1.1711,                0.89448,                0.88866,                0.96437,                0.82942,                0.88456,                0.87714,                0.94929,                0.75975,                0.67096,                 1.3391,                0.42397,                 1.1335,              0.0005455,              0.0005455,              0.0005455
                    194,                0.67419,                 1.3787,                0.57733,                 1.1635,                0.90645,                0.88833,                0.96607,                0.83231,                0.89638,                0.87685,                0.95117,                0.76219,                0.66611,                 1.3325,                0.41269,                 1.1287,               0.000496,               0.000496,               0.000496
                    195,                 0.6683,                 1.3789,                0.55419,                 1.1542,                0.91406,                0.89134,                0.96829,                0.83604,                0.90379,                0.87984,                0.95316,                0.76414,                0.66168,                 1.3256,                0.40334,                 1.1242,              0.0004465,              0.0004465,              0.0004465
                    196,                0.65682,                 1.3623,                   0.54,                 1.1477,                0.91725,                0.89368,                0.96931,                0.83849,                0.90685,                0.88213,                 0.9545,                0.76621,                0.65557,                 1.3187,                0.39351,                 1.1187,               0.000397,               0.000397,               0.000397
                    197,                0.64911,                 1.3534,                0.51619,                 1.1408,                0.92276,                0.89671,                0.97137,                0.84319,                0.91227,                0.88516,                0.95657,                0.76867,                0.65039,                 1.3116,                0.38469,                 1.1143,              0.0003475,              0.0003475,              0.0003475
                    198,                0.64394,                 1.3412,                0.50634,                 1.1347,                0.92499,                0.89869,                 0.9722,                0.84537,                0.91528,                0.88768,                0.95901,                0.77084,                0.64479,                 1.3042,                0.37634,                 1.1095,               0.000298,               0.000298,               0.000298
                    199,                0.63608,                 1.3337,                0.49104,                 1.1277,                0.92674,                0.90324,                 0.9745,                0.84815,                0.91625,                0.89169,                0.96042,                0.77335,                0.63968,                 1.2972,                0.36725,                  1.105,              0.0002485,              0.0002485,              0.0002485
                    200,                0.63165,                 1.3201,                0.48061,                 1.1231,                0.92887,                0.90454,                0.97662,                0.85055,                 0.9171,                 0.8938,                0.96254,                0.77659,                0.63366,                 1.2902,                0.35899,                 1.0998,               0.000199,               0.000199,               0.000199
